group,variable,value
10- Mate20 Pro,iPhone 12 mini 128Go,0
10- Mate20 Pro,iPhone 12 mini 64Go,0
10- Mate20 Pro,iPhone 12 Pro 128Go,0
10- Mate20 Pro,iPhone 12 Pro Max 128Go,0
10- Mate20 Pro,iPhone SE 2020 64Go,0.002
10- Mate20 Pro,Galaxy Note 10 Lite,0
10- Mate20 Pro,Galaxy Note20,0
10- Mate20 Pro,Galaxy Note20 5G,0
10- Mate20 Pro,Galaxy Note20 Ultra 5G,0.002
10- Mate20 Pro,Galaxy S10 128Go,0
10- Mate20 Pro,Galaxy S20,0
10- Mate20 Pro,Galaxy S20 5G,0
10- Mate20 Pro,Galaxy S20 FE,0
10- Mate20 Pro,Galaxy S20 FE 5G,0
10- Mate20 Pro,Galaxy S20 Ultra 5G,0
10- Mate20 Pro,Galaxy S20+,0
10- Mate20 Pro,Mi 10,0.002
10- Mate20 Pro,MI 10 LITE,0
10- Mate20 Pro,Mi 10T,0
10- Mate20 Pro,Mi 10T Lite,0
10- Mate20 Pro,MI 10T PRO,0.005
10- Mate20 Pro,P30 Pro 128Go,0
10- Mate20 Pro,P40 PRO,0.002
