group,variable,value
8- iPhone 8 Plus 64Go,Galaxy Note20 Ultra 5G,0
8- iPhone 8 Plus 64Go,Galaxy S10 128Go,0
8- iPhone 8 Plus 64Go,Galaxy S20,0
8- iPhone 8 Plus 64Go,Galaxy S20 5G,0
8- iPhone 8 Plus 64Go,Galaxy S20 FE,0
8- iPhone 8 Plus 64Go,Galaxy S20 FE 5G,0
8- iPhone 8 Plus 64Go,Galaxy S20 Ultra 5G,0
8- iPhone 8 Plus 64Go,Galaxy S20+,0
8- iPhone 8 Plus 64Go,iPhone 11 64Go,0
8- iPhone 8 Plus 64Go,iPhone 11 Pro 64Go,9
8- iPhone 8 Plus 64Go,iPhone 11 Pro Max 64Go,18
8- iPhone 8 Plus 64Go,iPhone 12 128Go,9
8- iPhone 8 Plus 64Go,iPhone 12 64Go,64
8- iPhone 8 Plus 64Go,iPhone 12 mini 128Go,0
8- iPhone 8 Plus 64Go,iPhone 12 mini 64Go,0
8- iPhone 8 Plus 64Go,iPhone 12 Pro 128Go,0
8- iPhone 8 Plus 64Go,iPhone 12 Pro Max 128Go,0
8- iPhone 8 Plus 64Go,iPhone SE 2020 64Go,0
8- iPhone 8 Plus 64Go,Mi 10,0
8- iPhone 8 Plus 64Go,MI 10 LITE,0
8- iPhone 8 Plus 64Go,Mi 10T,0
8- iPhone 8 Plus 64Go,Mi 10T Lite,0
8- iPhone 8 Plus 64Go,MI 10T PRO,0
8- iPhone 8 Plus 64Go,P30 Pro 128Go,0
8- iPhone 8 Plus 64Go,P40 PRO,0
9- iPhone Xs 64Go,Galaxy Note 10 Lite,0
9- iPhone Xs 64Go,Galaxy Note20,0
9- iPhone Xs 64Go,Galaxy Note20 5G,0
9- iPhone Xs 64Go,Galaxy Note20 Ultra 5G,0
9- iPhone Xs 64Go,Galaxy S10 128Go,0
9- iPhone Xs 64Go,Galaxy S20,0
9- iPhone Xs 64Go,Galaxy S20 5G,0
9- iPhone Xs 64Go,Galaxy S20 FE,0
9- iPhone Xs 64Go,Galaxy S20 FE 5G,0
9- iPhone Xs 64Go,Galaxy S20 Ultra 5G,0
9- iPhone Xs 64Go,Galaxy S20+,0
9- iPhone Xs 64Go,iPhone 11 64Go,8
9- iPhone Xs 64Go,iPhone 11 Pro 64Go,0
9- iPhone Xs 64Go,iPhone 11 Pro Max 64Go,17
9- iPhone Xs 64Go,iPhone 12 128Go,0
9- iPhone Xs 64Go,iPhone 12 64Go,67
9- iPhone Xs 64Go,iPhone 12 mini 128Go,0
9- iPhone Xs 64Go,iPhone 12 mini 64Go,8
9- iPhone Xs 64Go,iPhone 12 Pro 128Go,0
9- iPhone Xs 64Go,iPhone 12 Pro Max 128Go,0
9- iPhone Xs 64Go,iPhone SE 2020 64Go,0
9- iPhone Xs 64Go,Mi 10,0
9- iPhone Xs 64Go,MI 10 LITE,0
9- iPhone Xs 64Go,Mi 10T,0
9- iPhone Xs 64Go,Mi 10T Lite,0
9- iPhone Xs 64Go,MI 10T PRO,0
9- iPhone Xs 64Go,P30 Pro 128Go,0
9- iPhone Xs 64Go,P40 PRO,0
10- Mate20 Pro,Galaxy Note 10 Lite,0
10- Mate20 Pro,Galaxy Note20,0
10- Mate20 Pro,Galaxy Note20 5G,0
10- Mate20 Pro,Galaxy Note20 Ultra 5G,13
10- Mate20 Pro,Galaxy S10 128Go,0
10- Mate20 Pro,Galaxy S20,0
10- Mate20 Pro,Galaxy S20 5G,0
10- Mate20 Pro,Galaxy S20 FE,0
10- Mate20 Pro,Galaxy S20 FE 5G,0
10- Mate20 Pro,Galaxy S20 Ultra 5G,0
10- Mate20 Pro,Galaxy S20+,0
10- Mate20 Pro,iPhone 11 64Go,0
10- Mate20 Pro,iPhone 11 Pro 64Go,0
10- Mate20 Pro,iPhone 11 Pro Max 64Go,13
10- Mate20 Pro,iPhone 12 128Go,0
10- Mate20 Pro,iPhone 12 64Go,13
10- Mate20 Pro,iPhone 12 mini 128Go,0
10- Mate20 Pro,iPhone 12 mini 64Go,0
10- Mate20 Pro,iPhone 12 Pro 128Go,0
10- Mate20 Pro,iPhone 12 Pro Max 128Go,0
10- Mate20 Pro,iPhone SE 2020 64Go,13
10- Mate20 Pro,Mi 10,13
10- Mate20 Pro,MI 10 LITE,0
10- Mate20 Pro,Mi 10T,0
10- Mate20 Pro,Mi 10T Lite,0
10- Mate20 Pro,MI 10T PRO,25
10- Mate20 Pro,P30 Pro 128Go,0
10- Mate20 Pro,P40 PRO,13
