target,source,value
Galaxy S9+,Galaxy S20+ 5G,154
Galaxy S9+,Galaxy S20 Ultra 5G,128
Galaxy S9+,Mi 10T,128
Galaxy S9+,iPhone 11 Pro 64Go,103
Galaxy S9+,P30 Pro 128Go,77
Galaxy S9+,Galaxy S10 128Go,77
Galaxy S9+,Galaxy S10+ 128Go,51
Galaxy S9+,iPhone 11 Pro Max 64Go,51
Galaxy S9+,iPhone 11 128Go,51
Galaxy S9+,FIND X2 NEO,51
Galaxy S9+,P40 PRO,51
Galaxy S9+,iPhone 12 mini 128Go,26
Galaxy S9+,iPhone XR 64Go,26
Galaxy S9+,iPhone 12 Pro Max 256Go,26
Galaxy S9+,Galaxy Note 10 Lite,26
Galaxy S9+,iPhone 12 Pro 128Go,26
iPhone 11 64Go,iPhone 12 64Go,6311
iPhone 11 64Go,iPhone 12 Pro Max 128Go,1354
iPhone 11 64Go,iPhone 12 128Go,778
iPhone 11 64Go,iPhone 12 mini 64Go,403
iPhone 11 64Go,iPhone 11 Pro 64Go,202
iPhone 11 64Go,iPhone 11 Pro Max 64Go,202
iPhone 11 64Go,iPhone 11 64Go,115
iPhone 11 64Go,Galaxy Note20,86
iPhone 11 64Go,iPhone 12 mini 128Go,86
iPhone 11 64Go,Galaxy Note20 5G,58
iPhone 11 64Go,Galaxy Note20 Ultra 5G,58
iPhone 11 64Go,Galaxy S20 FE,58
iPhone 11 64Go,iPhone 11 Pro Max 256Go,58
iPhone 11 64Go,Galaxy S20+,29
iPhone 11 64Go,Galaxy Z Fold 2,29
iPhone 11 64Go,Galaxy S20 FE 5G,29
iPhone 11 64Go,P30 Pro 128Go,29
iPhone 11 64Go,iPhone 12 Pro 128Go,29
iPhone 11 64Go,iPhone 11 128Go,29
iPhone 11 64Go,Galaxy S20 5G,29
iPhone 11 64Go,iPhone 12 Pro Max 512Go,29
iPhone 6s 32Go,iPhone 11 64Go,314
iPhone 6s 32Go,iPhone 12 64Go,1982
iPhone 6s 32Go,iPhone SE 2020 64Go,1159
iPhone 6s 32Go,iPhone 12 mini 64Go,732
iPhone 6s 32Go,iPhone 12 Pro Max 128Go,61
iPhone 6s 32Go,iPhone 12 128Go,335
iPhone 6s 32Go,iPhone XR 64Go,305
iPhone 6s 32Go,iPhone 12 mini 128Go,274
iPhone 6s 32Go,iPhone 11 128Go,274
iPhone 6s 32Go,Galaxy S20 FE,183
iPhone 6s 32Go,iPhone 12 Pro 128Go,122
iPhone 6s 32Go,Mi 10,91
iPhone 6s 32Go,iPhone 11 Pro 64Go,91
iPhone 6s 32Go,Galaxy S20 FE 5G,91
iPhone 6s 32Go,MI 10T PRO,91
iPhone 6s 32Go,iPhone 11 Pro Max 256Go,61
iPhone 6s 32Go,iPhone 12 Pro Max 256Go,61
iPhone 6s 32Go,iPhone SE 2020 128Go,61
iPhone 6s 32Go,P30 Pro 128Go,61
iPhone 6s 32Go,Galaxy Note20,3
iPhone 6s 32Go,P40 PRO,3
iPhone 6s 32Go,iPhone 12 Pro 256Go,3
iPhone 6s 32Go,Mi 10T Lite,3
iPhone 6s 32Go,Galaxy S20+,3
iPhone 6s 32Go,Galaxy S10 128Go,3
iPhone 6s 32Go,iPhone 11 256Go,3
iPhone 6s 32Go,A72,3
iPhone 6s 32Go,P30,3
