Repris;Racheté;Poids
Galaxy S9+;iPhone 12 mini 128Go;0,26
Galaxy S9+;iPhone XR 64Go;0,26
Galaxy S9+;iPhone 12 Pro Max 256Go;0,26
Galaxy S9+;Galaxy Note 10 Lite;0,26
Galaxy S9+;iPhone 12 Pro 128Go;0,26
iPhone 11 64Go;iPhone 12 64Go;63,11
iPhone 11 64Go;iPhone 12 Pro Max 128Go;13,54
iPhone 11 64Go;iPhone 12 128Go;7,78
iPhone 11 64Go;iPhone 12 mini 64Go;4,03
iPhone 11 64Go;iPhone 11 Pro 64Go;2,02
iPhone 11 64Go;iPhone 11 Pro Max 64Go;2,02
iPhone 11 64Go;iPhone 11 64Go;1,15
iPhone 11 64Go;Galaxy Note20;0,86
iPhone 11 64Go;iPhone 12 mini 128Go;0,86
iPhone 11 64Go;Galaxy Note20 5G;0,58
iPhone 11 64Go;Galaxy Note20 Ultra 5G;0,58
iPhone 11 64Go;Galaxy S20 FE;0,58
iPhone 11 64Go;iPhone 11 Pro Max 256Go;0,58
iPhone 11 64Go;Galaxy S20+;0,29
iPhone 11 64Go;Galaxy Z Fold 2;0,29
iPhone 11 64Go;Galaxy S20 FE 5G;0,29
iPhone 11 64Go;P30 Pro 128Go;0,29
iPhone 11 64Go;iPhone 12 Pro 128Go;0,29
iPhone 11 64Go;iPhone 11 128Go;0,29
iPhone 11 64Go;Galaxy S20 5G;0,29
iPhone 11 64Go;iPhone 12 Pro Max 512Go;0,29
iPhone 6s 32Go;iPhone 11 64Go;31,4
iPhone 6s 32Go;iPhone 12 64Go;19,82
iPhone 6s 32Go;iPhone SE 2020 64Go;11,59
iPhone 6s 32Go;iPhone 12 mini 64Go;7,32
iPhone 6s 32Go;iPhone 12 Pro Max 128Go;6,1
iPhone 6s 32Go;iPhone 12 128Go;3,35
iPhone 6s 32Go;iPhone XR 64Go;3,05
iPhone 6s 32Go;iPhone 12 mini 128Go;2,74
iPhone 6s 32Go;iPhone 11 128Go;2,74
iPhone 6s 32Go;Galaxy S20 FE;1,83
iPhone 6s 32Go;iPhone 12 Pro 128Go;1,22
iPhone 6s 32Go;Mi 10;0,91
iPhone 6s 32Go;iPhone 11 Pro 64Go;0,91
iPhone 6s 32Go;Galaxy S20 FE 5G;0,91
iPhone 6s 32Go;MI 10T PRO;0,91
iPhone 6s 32Go;iPhone 11 Pro Max 256Go;0,61
iPhone 6s 32Go;iPhone 12 Pro Max 256Go;0,61
iPhone 6s 32Go;iPhone SE 2020 128Go;0,61
iPhone 6s 32Go;P30 Pro 128Go;0,61
iPhone 6s 32Go;Galaxy Note20;0,3
iPhone 6s 32Go;P40 PRO;0,3
iPhone 6s 32Go;iPhone 12 Pro 256Go;0,3
iPhone 6s 32Go;Mi 10T Lite;0,3
iPhone 6s 32Go;Galaxy S20+;0,3
iPhone 6s 32Go;Galaxy S10 128Go;0,3
iPhone 6s 32Go;iPhone 11 256Go;0,3
iPhone 6s 32Go;A72;0,3
iPhone 6s 32Go;P30;0,3
